author_id,conversation_id,created_at,entities,id,lang,possibly_sensitive,public_metrics,text,withheld,uuid
1.42E+18,1.51E+18,2022-03-31 12:41:42+00:00,"{'annotations': [{'end': 12, 'normalized_text': 'Britain', 'probability': 0.7994, 'start': 6, 'type': 'Place'}, {'end': 46, 'normalized_text': 'Sputnik', 'probability': 0.5727, 'start': 40, 'type': 'Organization'}, {'end': 68, 'normalized_text': 'Anton Anisimov', 'probability': 0.8568, 'start': 55, 'type': 'Person'}], 'urls': [{'description': '31.03.2022, Sputnik International', 'display_url': 'sputniknews.com/20220331/great…', 'end': 94, 'expanded_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html', 'images': [{'height': 1166, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=orig', 'width': 2072}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=150x150', 'width': 150}], 'start': 71, 'status': 200, 'title': ""Great Britain Imposes Sanctions Against Sputnik's Head Anton Anisimov"", 'unwound_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html', 'url': 'https://t.co/US1daSWhZl'}]}",1.51E+18,en,TRUE,"{'like_count': 3, 'quote_count': 0, 'reply_count': 1, 'retweet_count': 0}","Great Britain Imposes Sanctions Against Sputnik's Head Anton Anisimov

https://t.co/US1daSWhZl",,de994cd1-279c-4746-b150-b6812ef5216f
93834203,1.51E+18,2022-03-31 10:14:26+00:00,"{'urls': [{'description': '31.03.2022, Sputnik International', 'display_url': 'sputniknews.com/20220331/great…', 'end': 38, 'expanded_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html', 'images': [{'height': 1166, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=orig', 'width': 2072}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=150x150', 'width': 150}], 'start': 15, 'status': 200, 'title': ""Great Britain Imposes Sanctions Against Sputnik's Head Anton Anisimov"", 'unwound_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html', 'url': 'https://t.co/vt784V6NqS'}]}",1.51E+18,en,FALSE,"{'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}","BREAKING NEWS

https://t.co/vt784V6NqS",,de994cd1-279c-4746-b150-b6812ef5216f
34262462,1.51E+18,2022-03-31 10:10:05+00:00,"{'annotations': [{'end': 12, 'normalized_text': 'Britain', 'probability': 0.766, 'start': 6, 'type': 'Place'}, {'end': 46, 'normalized_text': 'Sputnik', 'probability': 0.5753, 'start': 40, 'type': 'Organization'}, {'end': 68, 'normalized_text': 'Anton Anisimov', 'probability': 0.8687, 'start': 55, 'type': 'Person'}], 'urls': [{'description': '31.03.2022, Sputnik International', 'display_url': 'dlvr.it/SMj3RX', 'end': 93, 'expanded_url': 'http://dlvr.it/SMj3RX', 'images': [{'height': 1166, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=orig', 'width': 2072}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=150x150', 'width': 150}], 'start': 70, 'status': 200, 'title': ""Great Britain Imposes Sanctions Against Sputnik's Head Anton Anisimov"", 'unwound_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html?utm_source=dlvr.it&utm_medium=twitter', 'url': 'https://t.co/H9t2XrYk6J'}]}",1.51E+18,en,FALSE,"{'like_count': 2, 'quote_count': 1, 'reply_count': 0, 'retweet_count': 1}",Great Britain Imposes Sanctions Against Sputnik's Head Anton Anisimov https://t.co/H9t2XrYk6J,"{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}",de994cd1-279c-4746-b150-b6812ef5216f
27076961,1.51E+18,2022-03-31 10:08:58+00:00,"{'urls': [{'description': '31.03.2022, Sputnik International', 'display_url': 'sputniknews.com/20220331/great…', 'end': 23, 'expanded_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html', 'images': [{'height': 1166, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=orig', 'width': 2072}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=150x150', 'width': 150}], 'start': 0, 'status': 200, 'title': ""Great Britain Imposes Sanctions Against Sputnik's Head Anton Anisimov"", 'unwound_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html', 'url': 'https://t.co/Sc2veAV0Vt'}]}",1.51E+18,zxx,FALSE,"{'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",https://t.co/Sc2veAV0Vt,,de994cd1-279c-4746-b150-b6812ef5216f
34262462,1.51E+18,2022-03-31 10:08:47+00:00,"{'annotations': [{'end': 24, 'normalized_text': 'Britain', 'probability': 0.5341, 'start': 18, 'type': 'Place'}, {'end': 58, 'normalized_text': 'Sputnik', 'probability': 0.6214000000000001, 'start': 52, 'type': 'Organization'}, {'end': 80, 'normalized_text': 'Anton Anisimov', 'probability': 0.7828, 'start': 67, 'type': 'Person'}], 'hashtags': [{'end': 9, 'start': 0, 'tag': 'BREAKING'}, {'end': 99, 'start': 83, 'tag': 'SputnikBreaking'}], 'urls': [{'description': '31.03.2022, Sputnik International', 'display_url': 'sputniknews.com/20220331/great…', 'end': 123, 'expanded_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html', 'images': [{'height': 1166, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=orig', 'width': 2072}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509472794295345153/9B1X8U2g?format=jpg&name=150x150', 'width': 150}], 'start': 100, 'status': 200, 'title': ""Great Britain Imposes Sanctions Against Sputnik's Head Anton Anisimov"", 'unwound_url': 'https://sputniknews.com/20220331/great-britain-imposes-sanctions-against-sputniks-head-anton-anisimov-1094354237.html', 'url': 'https://t.co/6UyiZbeI5r'}, {'display_url': 'pic.twitter.com/gLkkTFafNA', 'end': 147, 'expanded_url': 'https://twitter.com/SputnikInt/status/1509472769901215750/photo/1', 'media_key': '16_1509472749894483968', 'start': 124, 'url': 'https://t.co/gLkkTFafNA'}]}",1.51E+18,en,FALSE,"{'like_count': 10, 'quote_count': 0, 'reply_count': 4, 'retweet_count': 9}","#BREAKING | Great Britain imposes sanctions against Sputnik's Head Anton Anisimov

#SputnikBreaking https://t.co/6UyiZbeI5r https://t.co/gLkkTFafNA","{'copyright': False, 'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}",de994cd1-279c-4746-b150-b6812ef5216f
2181166359,1.51E+18,2022-04-03 04:47:52+00:00,"{'annotations': [{'end': 1, 'normalized_text': 'US', 'probability': 0.9519000000000001, 'start': 0, 'type': 'Place'}, {'end': 26, 'normalized_text': 'Russia', 'probability': 0.9995, 'start': 21, 'type': 'Place'}, {'end': 38, 'normalized_text': 'Ukraine', 'probability': 0.997, 'start': 32, 'type': 'Place'}, {'end': 71, 'normalized_text': 'Russia', 'probability': 0.979, 'start': 66, 'type': 'Place'}], 'urls': [{'description': 'The State Department urged US citizens in both Russia and Ukraine to depart immediately, saying Moscow may be targeting them for detention', 'display_url': 'rt.com/russia/553074-…', 'end': 122, 'expanded_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'images': [{'height': 551, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=orig', 'width': 980}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=150x150', 'width': 150}], 'start': 99, 'status': 200, 'title': 'US tells Americans in Russia and Ukraine to leave immediately — RT Russia & Former Soviet Union', 'unwound_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'url': 'https://t.co/jcGWaP9BkA'}]}",1.51E+18,en,FALSE,"{'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",US tells citizens in Russia and Ukraine to leave immediately — RT Russia &amp; Former Soviet Union https://t.co/jcGWaP9BkA,,7acb769a-d484-424c-a067-abcecd714504
25924647,1.51E+18,2022-04-01 11:54:11+00:00,"{'annotations': [{'end': 1, 'normalized_text': 'US', 'probability': 0.9445, 'start': 0, 'type': 'Place'}, {'end': 26, 'normalized_text': 'Russia', 'probability': 0.9993000000000001, 'start': 21, 'type': 'Place'}, {'end': 38, 'normalized_text': 'Ukraine', 'probability': 0.994, 'start': 32, 'type': 'Place'}], 'urls': [{'description': 'The State Department urged US citizens in both Russia and Ukraine to depart immediately, saying Moscow may be targeting them for detention', 'display_url': 'rt.com/russia/553074-…', 'end': 84, 'expanded_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'images': [{'height': 551, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=orig', 'width': 980}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=150x150', 'width': 150}], 'start': 61, 'title': 'US tells Americans in Russia and Ukraine to leave immediately — RT Russia & Former Soviet Union', 'unwound_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'url': 'https://t.co/9FwxxD21vw'}]}",1.51E+18,en,FALSE,"{'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",US tells citizens in Russia and Ukraine to leave immediately https://t.co/9FwxxD21vw #,,7acb769a-d484-424c-a067-abcecd714504
1.48E+18,1.51E+18,2022-04-01 08:40:48+00:00,"{'annotations': [{'end': 1, 'normalized_text': 'US', 'probability': 0.9540000000000001, 'start': 0, 'type': 'Place'}, {'end': 17, 'normalized_text': 'Americans', 'probability': 0.7303000000000001, 'start': 9, 'type': 'Person'}, {'end': 27, 'normalized_text': 'Russia', 'probability': 0.9992000000000001, 'start': 22, 'type': 'Place'}, {'end': 39, 'normalized_text': 'Ukraine', 'probability': 0.996, 'start': 33, 'type': 'Place'}], 'urls': [{'description': 'The State Department urged US citizens in both Russia and Ukraine to depart immediately, saying Moscow may be targeting them for detention', 'display_url': 'rt.com/russia/553074-…', 'end': 86, 'expanded_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'images': [{'height': 551, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=orig', 'width': 980}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=150x150', 'width': 150}], 'start': 63, 'status': 200, 'title': 'US tells Americans in Russia and Ukraine to leave immediately — RT Russia & Former Soviet Union', 'unwound_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'url': 'https://t.co/Zc46YQhxnM'}, {'display_url': 'pic.twitter.com/XqovMVoqdK', 'end': 110, 'expanded_url': 'https://twitter.com/edmorris1957/status/1509813014526148635/photo/1', 'media_key': '3_1509813003289608192', 'start': 87, 'url': 'https://t.co/XqovMVoqdK'}]}",1.51E+18,en,FALSE,"{'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}","US tells Americans in Russia and Ukraine to leave immediately 
https://t.co/Zc46YQhxnM https://t.co/XqovMVoqdK",,7acb769a-d484-424c-a067-abcecd714504
30701862,1.51E+18,2022-04-01 07:09:39+00:00,"{'annotations': [{'end': 1, 'normalized_text': 'US', 'probability': 0.9504, 'start': 0, 'type': 'Place'}, {'end': 17, 'normalized_text': 'Americans', 'probability': 0.7714000000000001, 'start': 9, 'type': 'Person'}, {'end': 27, 'normalized_text': 'Russia', 'probability': 0.9991000000000001, 'start': 22, 'type': 'Place'}, {'end': 39, 'normalized_text': 'Ukraine', 'probability': 0.9958, 'start': 33, 'type': 'Place'}], 'urls': [{'description': 'The State Department urged US citizens in both Russia and Ukraine to depart immediately, saying Moscow may be targeting them for detention', 'display_url': 'rt.com/russia/553074-…', 'end': 85, 'expanded_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'images': [{'height': 551, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=orig', 'width': 980}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=150x150', 'width': 150}], 'start': 62, 'status': 200, 'title': 'US tells Americans in Russia and Ukraine to leave immediately — RT Russia & Former Soviet Union', 'unwound_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'url': 'https://t.co/qZxFVCSwT2'}]}",1.51E+18,en,FALSE,"{'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",US tells Americans in Russia and Ukraine to leave immediately https://t.co/qZxFVCSwT2,,7acb769a-d484-424c-a067-abcecd714504
8.29E+17,1.51E+18,2022-04-01 03:43:54+00:00,"{'urls': [{'description': 'The State Department urged US citizens in both Russia and Ukraine to depart immediately, saying Moscow may be targeting them for detention', 'display_url': 'rt.com/russia/553074-…', 'end': 123, 'expanded_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'images': [{'height': 551, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=orig', 'width': 980}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1509634114084876301/eOH2Fz-V?format=jpg&name=150x150', 'width': 150}], 'start': 100, 'title': 'US tells Americans in Russia and Ukraine to leave immediately — RT Russia & Former Soviet Union', 'unwound_url': 'https://www.rt.com/russia/553074-state-department-americans-leave-immediately/', 'url': 'https://t.co/HUHBdtFTaI'}]}",1.51E+18,und,FALSE,"{'like_count': 0, 'quote_count': 0, 'reply_count': 0, 'retweet_count': 0}",US tells Americans in Russia and Ukraine to leave immediately — RT Russia &amp; Former Soviet Union https://t.co/HUHBdtFTaI                                ޔޫކްރެއިން ގަ ހަމަނުޖެހުން އުފއްދާ އެޖެހި ސަކަރާތެއް ޖަހާފަ ބޯދަމައިގަންނަނީ,,7acb769a-d484-424c-a067-abcecd714504
