created_at,description,entities,id,location,name,profile_image_url,public_metrics,username,withheld
2009-02-25T16:38:24.000Z,De Tweede Kamer is niet bedoeld voor kadaverdiscipline. Elke stem is vrij. Dat een coalitie van 4 partijen telkens stemt als één kartel is pure staatsterreur!,"{'url': {'urls': [{'display_url': 'waarheid911.nl', 'end': 23, 'expanded_url': 'http://waarheid911.nl', 'start': 0, 'url': 'https://t.co/YNXkizl0w8'}]}}",21884690,"Amsterdam, NL - @W911",Frank Ho,https://pbs.twimg.com/profile_images/1487845840735588358/kp6gKn_q_normal.jpg,"{'followers_count': 1836, 'following_count': 205, 'listed_count': 31, 'tweet_count': 43505}",Holavista,
2012-12-31T17:17:24.000Z,habeas corpus (1215),,1050792505,Konstantinopolis/Ayasofya Müze,!Gintaras Mindaugovich Staučė!,https://pbs.twimg.com/profile_images/1523799224915316738/DoMJ8Yew_normal.jpg,"{'followers_count': 409, 'following_count': 4048, 'listed_count': 0, 'tweet_count': 22325}",siyahrus,
2022-03-26T23:10:57.000Z,Tenaz,,1507857571398389761,"Asuncion, Paraguay",Tukumero Medina Verdun,https://pbs.twimg.com/profile_images/1507863201437814786/ZGQYDJtd_normal.jpg,"{'followers_count': 3, 'following_count': 308, 'listed_count': 0, 'tweet_count': 60}",tukumero,
2009-07-27T05:10:22.000Z,,,60496486,"Denver, CO USA",Edriss Kironde,https://pbs.twimg.com/profile_images/3246836244/1ae58ee0551302eb8c6b3596550ea37c_normal.jpeg,"{'followers_count': 569, 'following_count': 623, 'listed_count': 1, 'tweet_count': 1432}",edkay4u,
2021-11-06T11:05:49.000Z,,,1456940806099517440,,WTF Is Going On?,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 10, 'following_count': 17, 'listed_count': 0, 'tweet_count': 1377}",WTFIsGo47562610,
2015-06-12T09:57:54.000Z,Let's hold onto facts and what we got,,3320601891,"Frederiksberg, Danmark",Jens Erik Jensen,https://pbs.twimg.com/profile_images/1107741689408618498/jDovvAZd_normal.png,"{'followers_count': 515, 'following_count': 939, 'listed_count': 3, 'tweet_count': 15431}",Jensen2405,
2014-03-04T05:53:22.000Z,アルバイターに進化しました。☸️🇯🇵,"{'url': {'urls': [{'display_url': 'linktr.ee/kzktch', 'end': 23, 'expanded_url': 'https://linktr.ee/kzktch', 'start': 0, 'url': 'https://t.co/EhyAJxaJua'}]}}",2371453056,埼玉 坂戸市,小崎太一 KOZAKI Taichi,https://pbs.twimg.com/profile_images/1506132345438769152/cxKrEV_3_normal.jpg,"{'followers_count': 157, 'following_count': 169, 'listed_count': 4, 'tweet_count': 37614}",kzktch,
2013-05-20T01:52:53.000Z,"I'm a staunch conservative, a believer in Austrian Economists. I 😍Trump! I I'm a Christian who studies Bible Eschatology and dearly Love my family and Friends!",,1442588970,,Lori Morton 🍊🇺🇸✝️,https://pbs.twimg.com/profile_images/1226586062262325250/s1ZxHKFJ_normal.jpg,"{'followers_count': 1987, 'following_count': 4289, 'listed_count': 12, 'tweet_count': 40646}",ButifldrmLori,
2013-07-08T16:43:24.000Z,Membro da Associação dos Observadores do Saci e postulante dispensável do Instituto de Altos Estudios de Patafísica de UBuenos Aires.,"{'url': {'urls': [{'display_url': 'entrancodeviceversa.blogspot.com.br', 'end': 23, 'expanded_url': 'http://entrancodeviceversa.blogspot.com.br/', 'start': 0, 'url': 'https://t.co/9i2Fy5icY2'}]}}",1578098006,Pindorama,Nivaldo TM,https://pbs.twimg.com/profile_images/378800000452506396/2290475346b79edcece4ae169001bc08_normal.jpeg,"{'followers_count': 21122, 'following_count': 18527, 'listed_count': 134, 'tweet_count': 596380}",AdsumP,
2018-03-21T22:12:21.000Z,,,976582308114325504,,Martha Rollins,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 7, 'following_count': 40, 'listed_count': 0, 'tweet_count': 1870}",MarthaRollins18,
2010-06-24T22:10:50.000Z,,,159255502,,Half Texan,https://pbs.twimg.com/profile_images/1480660001178161152/GwCXreal_normal.jpg,"{'followers_count': 4, 'following_count': 131, 'listed_count': 0, 'tweet_count': 293}",nugie22,
2011-08-15T04:11:08.000Z,Tlamatini (pensador  Nuestroamericano),,355299869,Valley of Oz,Juan Donosti,https://pbs.twimg.com/profile_images/846483913383919620/qDHkeAql_normal.jpg,"{'followers_count': 1087, 'following_count': 1712, 'listed_count': 0, 'tweet_count': 20893}",Juandonosti2012,
